benchmark,task,imbalance_factor,repetition,method,subset_samples,minimum_class_samples,maximum_class_samples,target_labels_used_only_to_construct_controlled_imbalance,accuracy,balanced_accuracy
office31,A2D,1,0,no_prior_correction,217,7,7,True,82.94930875576037,82.94930875576037
office31,A2D,1,0,estimated_prior_correction,217,7,7,True,82.94930875576037,82.94930875576037
office31,A2D,1,1,no_prior_correction,217,7,7,True,85.25345622119815,85.25345622119818
office31,A2D,1,1,estimated_prior_correction,217,7,7,True,85.25345622119815,85.25345622119818
office31,A2D,1,2,no_prior_correction,217,7,7,True,82.48847926267281,82.48847926267283
office31,A2D,1,2,estimated_prior_correction,217,7,7,True,82.48847926267281,82.48847926267283
office31,A2D,1,3,no_prior_correction,217,7,7,True,87.55760368663594,87.55760368663596
office31,A2D,1,3,estimated_prior_correction,217,7,7,True,88.0184331797235,88.01843317972352
office31,A2D,1,4,no_prior_correction,217,7,7,True,85.71428571428571,85.71428571428572
office31,A2D,1,4,estimated_prior_correction,217,7,7,True,85.71428571428571,85.71428571428572
office31,A2D,10,0,no_prior_correction,87,1,7,True,81.60919540229885,76.66666666666666
office31,A2D,10,0,estimated_prior_correction,87,1,7,True,81.60919540229885,76.66666666666666
office31,A2D,10,1,no_prior_correction,87,1,7,True,87.35632183908046,80.80645161290323
office31,A2D,10,1,estimated_prior_correction,87,1,7,True,87.35632183908046,80.80645161290323
office31,A2D,10,2,no_prior_correction,87,1,7,True,82.75862068965517,84.56989247311829
office31,A2D,10,2,estimated_prior_correction,87,1,7,True,82.75862068965517,84.56989247311829
office31,A2D,10,3,no_prior_correction,87,1,7,True,81.60919540229885,80.92165898617512
office31,A2D,10,3,estimated_prior_correction,87,1,7,True,81.60919540229885,80.92165898617512
office31,A2D,10,4,no_prior_correction,87,1,7,True,77.01149425287356,73.44086021505376
office31,A2D,10,4,estimated_prior_correction,87,1,7,True,74.71264367816092,71.82795698924731
office31,A2D,50,0,no_prior_correction,64,1,7,True,82.8125,87.90322580645162
office31,A2D,50,0,estimated_prior_correction,64,1,7,True,82.8125,87.90322580645162
office31,A2D,50,1,no_prior_correction,64,1,7,True,75.0,72.15053763440861
office31,A2D,50,1,estimated_prior_correction,64,1,7,True,75.0,72.15053763440861
office31,A2D,50,2,no_prior_correction,64,1,7,True,85.9375,75.16129032258064
office31,A2D,50,2,estimated_prior_correction,64,1,7,True,85.9375,75.16129032258064
office31,A2D,50,3,no_prior_correction,64,1,7,True,87.5,86.02150537634408
office31,A2D,50,3,estimated_prior_correction,64,1,7,True,87.5,86.02150537634408
office31,A2D,50,4,no_prior_correction,64,1,7,True,85.9375,82.68817204301075
office31,A2D,50,4,estimated_prior_correction,64,1,7,True,85.9375,82.68817204301075
office31,A2W,1,0,no_prior_correction,341,11,11,True,82.69794721407625,82.69794721407627
office31,A2W,1,0,estimated_prior_correction,341,11,11,True,82.69794721407625,82.69794721407627
office31,A2W,1,1,no_prior_correction,341,11,11,True,81.81818181818183,81.81818181818181
office31,A2W,1,1,estimated_prior_correction,341,11,11,True,81.81818181818183,81.81818181818181
office31,A2W,1,2,no_prior_correction,341,11,11,True,82.69794721407625,82.69794721407625
office31,A2W,1,2,estimated_prior_correction,341,11,11,True,84.1642228739003,84.16422287390029
office31,A2W,1,3,no_prior_correction,341,11,11,True,81.52492668621701,81.524926686217
office31,A2W,1,3,estimated_prior_correction,341,11,11,True,81.52492668621701,81.524926686217
office31,A2W,1,4,no_prior_correction,341,11,11,True,83.28445747800586,83.28445747800586
office31,A2W,1,4,estimated_prior_correction,341,11,11,True,83.28445747800586,83.28445747800586
