benchmark,task,method,source_weight_mean,target_weight_mean,target_labels_used_for_weight_selection,accuracy,balanced_accuracy,mean_reliability,selection_objective
office31,A2D,fixed_asymmetric,0.1,0.025,False,84.13654618473896,85.02918423325157,,
office31,A2D,uniform,0.3333333333333333,0.3333333333333333,False,86.34538152610442,86.70266736536021,,
office31,A2D,uncertainty_scaled_target,0.1,0.015166832134127617,False,83.53413654618474,84.45670855558654,0.6066733002662659,
office31,A2D,class_adaptive,0.1483316719532013,0.06066732853651047,False,66.26506024096386,70.51675122898486,0.6066733002662659,
office31,A2D,label_free_entropy_selected,0.3333333333333333,0.3333333333333333,False,86.34538152610442,86.70266736536021,,0.16166542395949363
office31,A2W,fixed_asymmetric,0.1,0.025,False,84.65408805031447,83.71400850056811,,
office31,A2W,uniform,0.3333333333333333,0.3333333333333333,False,86.16352201257862,85.48650347434017,,
office31,A2W,uncertainty_scaled_target,0.1,0.01641051284968853,False,83.52201257861635,82.10639845913337,0.6564204692840576,
office31,A2W,class_adaptive,0.13589487969875336,0.06564205139875412,False,58.36477987421384,59.5146751505509,0.6564204692840576,
office31,A2W,label_free_entropy_selected,0.2,0.3333333333333333,False,86.16352201257862,85.20303339733476,,0.1896959699690342
office31,D2A,fixed_asymmetric,0.1,0.025,False,81.46964856230032,81.06616113073677,,
office31,D2A,uniform,0.3333333333333333,0.3333333333333333,False,82.0021299254526,81.51655691024763,,
office31,D2A,uncertainty_scaled_target,0.1,0.02128130942583084,False,81.15015974440894,80.7008977502505,0.8512524366378784,
office31,D2A,class_adaptive,0.08718687295913696,0.08512523770332336,False,82.07312744053958,81.80293559045602,0.8512524366378784,
office31,D2A,label_free_entropy_selected,0.2,0.3333333333333333,False,82.67660631877885,82.22989603637953,,0.23439213614910842
office31,D2W,fixed_asymmetric,0.1,0.025,False,86.28930817610063,85.2774233049562,,
office31,D2W,uniform,0.3333333333333333,0.3333333333333333,False,89.55974842767296,88.67605789633942,,
office31,D2W,uncertainty_scaled_target,0.1,0.016776395961642265,False,84.65408805031447,83.3175734060792,0.6710556745529175,
