benchmark,task,comparator,samples,comparator_accuracy,satpa_accuracy,gain_pp,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_probability_gain_le_zero,mcnemar_exact_p,discordant_satpa_only_correct,discordant_comparator_only_correct,mcnemar_holm_p,significant_after_holm_0p05
office31,A2D,prompt_ensemble,498,83.53413654618474,84.13654618473896,0.602409616112709,-1.0040160417556763,2.0130521655081974,0.254,0.6072387695312499,9,6,0.6072387695312499,False
office31,A2W,prompt_ensemble,795,83.39622641509435,84.65408805031447,1.2578615918755531,0.25157231092453003,2.264151096343994,0.0054,0.021270751953125,13,3,0.05098395772030914,False
office31,D2A,prompt_ensemble,2817,80.5111821086262,81.46964856230032,0.958466436713934,0.39048632979393005,1.5264465808868408,0.0002,0.0013071686857635996,47,20,0.006535843428817998,True
office31,D2W,prompt_ensemble,795,83.39622641509435,86.28930817610063,2.8930816799402237,1.7610063552856445,4.150943279266357,0.0,1.5497207641601562e-06,24,1,9.298324584960938e-06,True
office31,W2A,prompt_ensemble,2817,80.5111821086262,81.2566560170394,0.7454738952219486,0.17660631202161342,1.313454031944275,0.0066,0.01699465257343638,46,25,0.05098395772030914,False
office31,W2D,prompt_ensemble,498,83.53413654618474,86.34538152610442,2.811245061457157,1.0040160417556763,4.618473529815674,0.0006,0.0025768280029296875,17,3,0.01030731201171875,True
office31,A2D,t3a,498,89.1566265060241,84.13654618473896,-5.020080506801605,-7.831325531005859,-2.4096384048461914,1.0,0.0004697573180081349,12,37,0.0028185439080488095,True
office31,A2W,t3a,795,84.0251572327044,84.65408805031447,0.6289307959377766,-1.6352200508117676,3.0188679695129395,0.3166,0.6682849967188076,46,41,0.6682849967188076,False
office31,D2A,t3a,2817,80.65317713880015,81.46964856230032,0.8164714090526104,-0.17749378085136414,1.810436725616455,0.0608,0.12419617466066922,114,91,0.37258852398200765,False
office31,D2W,t3a,795,84.0251572327044,86.28930817610063,2.2641509771347046,0.12578615546226501,4.402515888214111,0.021,0.050452410247217666,47,29,0.24383382952237298,False
office31,W2A,t3a,2817,80.65317713880015,81.2566560170394,0.6034788675606251,-0.39048632979393005,1.632942795753479,0.1266,0.272909834829714,115,98,0.545819669659428,False
office31,W2D,t3a,498,89.1566265060241,86.34538152610442,-2.811245061457157,-5.421687126159668,-0.20080320537090302,0.987,0.048766765904474596,15,29,0.24383382952237298,False
office31,A2D,tip_adapter_source,498,77.10843373493977,84.13654618473896,7.028112560510635,4.216867446899414,9.839357376098633,0.0,1.220851017613711e-06,44,9,3.662553052841133e-06,True
office31,A2W,tip_adapter_source,795,79.87421383647799,84.65408805031447,4.779874160885811,2.7672955989837646,6.792452812194824,0.0,4.11597033439493e-06,53,15,8.23194066878986e-06,True
office31,D2A,tip_adapter_source,2817,75.86084487042953,81.46964856230032,5.608803778886795,4.685835838317871,6.5681577324867115,0.0,7.213300979328562e-31,183,25,3.6066504896642814e-30,True
office31,D2W,tip_adapter_source,795,80.75471698113208,86.28930817610063,5.534591153264046,3.396226406097412,7.6729559898376465,0.0,5.663739625418237e-07,61,17,2.2654958501672947e-06,True
office31,W2A,tip_adapter_source,2817,72.87894923677672,81.2566560170394,8.37770700454712,7.277245044708252,9.549165725708008,0.0,2.3853783207745994e-53,256,20,1.4312269924647596e-52,True
office31,W2D,tip_adapter_source,498,82.53012048192771,86.34538152610442,3.8152609020471573,1.0040160417556763,6.626506328582764,0.0048,0.012660335802414213,36,17,0.012660335802414213,True
officehome,A2C,prompt_ensemble,4365,66.27720504009163,66.68957617411225,0.41237114928662777,-0.20618557929992676,1.0080182552337646,0.1058,0.21492179659284352,103,85,0.42984359318568705,False
officehome,A2P,prompt_ensemble,4439,87.36201847262896,87.99279116918225,0.6307727191597223,0.22527596354484558,1.0587971210479736,0.0016,0.004609105461459271,60,32,0.028455812872470662,True
officehome,A2R,prompt_ensemble,4357,87.8815698875373,88.73077805829699,0.8492081426084042,0.3442735970020294,1.3541427850723267,0.0008,0.0010844284704958538,80,43,0.00867542776396683,True
officehome,C2A,prompt_ensemble,2427,78.78038730943551,79.68685620107128,0.90646892786026,0.2472187876701355,1.6069220304489136,0.0044,0.011526409654363478,46,24,0.05763204827181739,False
officehome,C2P,prompt_ensemble,4439,87.36201847262896,87.92520838026583,0.5631898995488882,0.2027483582496643,0.9461590051651001,0.0014,0.004065116124638666,48,23,0.028455812872470662,True
officehome,C2R,prompt_ensemble,4357,87.8815698875373,88.96029378012393,1.078723929822445,0.6655955910682678,1.4918521642684937,0.0,8.187199365843673e-07,69,22,9.00591930242804e-06,True
officehome,P2A,prompt_ensemble,2427,78.78038730943551,78.90399670374948,0.12360939290374517,-0.7004532217979431,0.90646892786026,0.4176,0.8423820985077431,52,49,0.8423820985077431,False
officehome,P2C,prompt_ensemble,4365,66.27720504009163,67.90378006872852,1.626574993133545,0.9621992707252502,2.3138604164123535,0.0,2.05704613294742e-06,146,75,2.05704613294742e-05,True
officehome,P2R,prompt_ensemble,4357,87.8815698875373,89.18980950195088,1.3082396239042282,0.8033050298690796,1.8131742477416992,0.0,4.3609050114827153e-07,92,35,5.233086013779258e-06,True
officehome,R2A,prompt_ensemble,2427,78.78038730943551,79.48084054388134,0.7004532497376204,-0.041203130036592484,1.483312726020813,0.036,0.08932073673118937,53,36,0.26796221019356814,False
officehome,R2C,prompt_ensemble,4365,66.27720504009163,67.0103092783505,0.7331042550504208,0.09163802862167358,1.351660966873169,0.0142,0.028125407232926447,116,84,0.11250162893170579,False
officehome,R2P,prompt_ensemble,4439,87.36201847262896,88.28564992115341,0.9236314333975315,0.5400991573929789,1.3291281461715698,0.0,4.194042408924103e-06,60,19,3.774638168031693e-05,True
