benchmark,task,perturbation,prior_l1_error_to_oracle,selected_count,target_labels_used_only_to_measure_prior_error,accuracy,balanced_accuracy
office31,A2D,0.0,0.2618921981946005,403,True,84.13654618473896,85.02918423325157
office31,A2D,0.25,0.2737667809710834,405,True,84.13654618473896,85.02918423325157
office31,A2D,0.5,0.30649715768521923,404,True,83.93574297188755,84.88255666726914
office31,A2D,0.75,0.3768849000476726,405,True,83.93574297188755,84.88255666726914
office31,A2D,1.0,0.5121806958385625,404,True,83.93574297188755,84.88255666726914
office31,A2W,0.0,0.2346774361689092,617,True,84.65408805031447,83.71400850056811
office31,A2W,0.25,0.22327315544363105,617,True,84.65408805031447,83.71400850056811
office31,A2W,0.5,0.2556212097734393,621,True,84.65408805031447,83.71400850056811
office31,A2W,0.75,0.3181646456834296,619,True,84.65408805031447,83.71400850056811
office31,A2W,1.0,0.41532427931519406,618,True,84.65408805031447,83.71400850056811
office31,D2A,0.0,0.17489438078867067,2223,True,81.46964856230032,81.06616113073677
office31,D2A,0.25,0.16750351230145927,2220,True,81.46964856230032,81.06616113073677
office31,D2A,0.5,0.18384841126206222,2217,True,81.46964856230032,81.06616113073677
office31,D2A,0.75,0.21379730902962224,2219,True,81.46964856230032,81.06616113073677
office31,D2A,1.0,0.2649191640192353,2218,True,81.46964856230032,81.06616113073677
office31,D2W,0.0,0.22359771066483397,639,True,86.28930817610063,85.2774233049562
office31,D2W,0.25,0.20919581739512078,640,True,86.28930817610063,85.2774233049562
office31,D2W,0.5,0.2731851547626889,639,True,86.28930817610063,85.2774233049562
office31,D2W,0.75,0.37994502283067466,640,True,86.28930817610063,85.2774233049562
office31,D2W,1.0,0.49723355692897475,643,True,86.28930817610063,85.2774233049562
office31,W2A,0.0,0.17946966143263318,2217,True,81.2566560170394,80.87576652882686
office31,W2A,0.25,0.1631194391450904,2218,True,81.2566560170394,80.87576652882686
office31,W2A,0.5,0.17499290994767483,2218,True,81.2566560170394,80.87576652882686
office31,W2A,0.75,0.2129537115134028,2220,True,81.2566560170394,80.87576652882686
office31,W2A,1.0,0.2525571757880302,2215,True,81.2566560170394,80.87576652882686
office31,W2D,0.0,0.2209816348467451,417,True,86.34538152610442,86.88088384266506
office31,W2D,0.25,0.2119356739601195,419,True,86.34538152610442,86.88088384266506
office31,W2D,0.5,0.23959175305633484,420,True,86.34538152610442,86.88088384266506
office31,W2D,0.75,0.2944415200328351,420,True,86.34538152610442,86.88088384266506
office31,W2D,1.0,0.38271820530376177,419,True,86.34538152610442,86.88088384266506
officehome,A2C,0.0,0.3061912450837763,2307,True,66.68957617411225,66.46487720183573
officehome,A2C,0.25,0.2954241564130407,2308,True,66.71248568155784,66.48041721737576
officehome,A2C,0.5,0.31526390563982165,2309,True,66.71248568155784,66.48041721737576
officehome,A2C,0.75,0.36924758641644856,2311,True,66.71248568155784,66.48041721737576
officehome,A2C,1.0,0.4640884539041673,2313,True,66.71248568155784,66.48041721737576
officehome,A2P,0.0,0.15348226356736164,3704,True,87.99279116918225,87.35002550537693
officehome,A2P,0.25,0.16666077974105054,3709,True,87.99279116918225,87.35002550537693
officehome,A2P,0.5,0.21790560524642238,3714,True,87.99279116918225,87.35002550537693
officehome,A2P,0.75,0.2794124915456801,3715,True,87.99279116918225,87.35002550537693
officehome,A2P,1.0,0.36087636284001606,3719,True,87.97026357287677,87.3339998643513
officehome,A2R,0.0,0.11773086811415924,3604,True,88.73077805829699,86.78719280747971
officehome,A2R,0.25,0.11729295930017059,3602,True,88.73077805829699,86.78719280747971
officehome,A2R,0.5,0.1500551636814733,3604,True,88.73077805829699,86.78719280747971
officehome,A2R,0.75,0.2148167572144281,3602,True,88.73077805829699,86.78719280747971
officehome,A2R,1.0,0.2894505371816112,3605,True,88.73077805829699,86.78719280747971
officehome,C2A,0.0,0.16523248665545187,1650,True,79.68685620107128,75.42198968938507
officehome,C2A,0.25,0.18662796558172481,1647,True,79.6456530696333,75.3578871252825
officehome,C2A,0.5,0.2828013833932815,1651,True,79.6456530696333,75.3578871252825
officehome,C2A,0.75,0.40872765792262644,1651,True,79.6456530696333,75.3578871252825
officehome,C2A,1.0,0.5432521500487998,1648,True,79.6456530696333,75.3578871252825
officehome,C2P,0.0,0.15409055748386724,3683,True,87.92520838026583,87.24540412484718
officehome,C2P,0.25,0.16837848374812087,3689,True,87.92520838026583,87.24540412484718
officehome,C2P,0.5,0.2113320906902314,3692,True,87.92520838026583,87.24540412484718
officehome,C2P,0.75,0.27344522318161063,3693,True,87.92520838026583,87.24540412484718
officehome,C2P,1.0,0.3549022056363295,3694,True,87.92520838026583,87.24540412484718
officehome,C2R,0.0,0.11748985989356173,3565,True,88.96029378012393,87.12254176817049
officehome,C2R,0.25,0.10815312104154995,3564,True,88.96029378012393,87.12254176817049
officehome,C2R,0.5,0.15511094520064483,3563,True,88.96029378012393,87.12254176817049
officehome,C2R,0.75,0.227368583275365,3563,True,88.96029378012393,87.12254176817049
officehome,C2R,1.0,0.3065406199968358,3558,True,88.93734220794124,87.09887312911725
officehome,P2A,0.0,0.18060528072721227,1679,True,78.90399670374948,74.76383253779893
officehome,P2A,0.25,0.23770502256928616,1680,True,78.90399670374948,74.76383253779893
officehome,P2A,0.5,0.35363468578571,1681,True,78.90399670374948,74.76383253779893
officehome,P2A,0.75,0.4818726828405617,1679,True,78.90399670374948,74.76383253779893
officehome,P2A,1.0,0.6122467586221931,1685,True,78.86279357231149,74.73366662528008
officehome,P2C,0.0,0.28630025559068933,2358,True,67.90378006872852,67.10755027824045
officehome,P2C,0.25,0.2671624528332658,2358,True,67.90378006872852,67.10755027824045
officehome,P2C,0.5,0.28828036322739686,2363,True,67.90378006872852,67.10755027824045
officehome,P2C,0.75,0.35642846192420596,2368,True,67.90378006872852,67.10755027824045
officehome,P2C,1.0,0.4537413011455146,2363,True,67.90378006872852,67.10755027824045
officehome,P2R,0.0,0.10954263601306616,3664,True,89.18980950195088,87.3658113576147
officehome,P2R,0.25,0.09168791798946774,3659,True,89.18980950195088,87.3658113576147
officehome,P2R,0.5,0.13433363498725923,3659,True,89.16685792976818,87.34017033197367
officehome,P2R,0.75,0.20384214299682904,3657,True,89.18980950195088,87.3658113576147
officehome,P2R,1.0,0.27977069200008686,3656,True,89.18980950195088,87.3658113576147
officehome,R2A,0.0,0.1671099764283901,1686,True,79.48084054388134,75.28909710719086
officehome,R2A,0.25,0.20884148364452815,1685,True,79.43963741244335,75.2506355687293
officehome,R2A,0.5,0.3051488449372191,1684,True,79.43963741244335,75.2506355687293
officehome,R2A,0.75,0.4176499147138418,1686,True,79.43963741244335,75.26838704801925
officehome,R2A,1.0,0.5406946116309345,1687,True,79.43963741244335,75.26838704801925
officehome,R2C,0.0,0.3060889431542128,2373,True,67.0103092783505,66.36983430640659
officehome,R2C,0.25,0.27401724172762515,2366,True,66.98739977090491,66.35429429086658
officehome,R2C,0.5,0.28885298971585255,2365,True,67.0103092783505,66.39275582932811
officehome,R2C,0.75,0.3399950036639595,2367,True,67.0103092783505,66.39275582932811
officehome,R2C,1.0,0.4190749901029996,2373,True,66.98739977090491,66.37251291434835
officehome,R2P,0.0,0.14377477404396627,3744,True,88.28564992115341,87.62384824125252
officehome,R2P,0.25,0.1344582918452682,3738,True,88.28564992115341,87.602480719885
officehome,R2P,0.5,0.18902829529471551,3735,True,88.28564992115341,87.602480719885
officehome,R2P,0.75,0.2720267044042561,3737,True,88.28564992115341,87.602480719885
officehome,R2P,1.0,0.361144770013668,3738,True,88.28564992115341,87.602480719885
