benchmark,task,method,noise_rate,repetition,corrupted_selected_labels,classes_with_target_support,mean_cosine_to_oracle_target_prototype,target_labels_used_only_for_noise_control_and_posthoc_diagnostics,accuracy,balanced_accuracy
office31,A2D,source_anchored,0.0,0,0,30,0.97063809633255,True,84.13654618473896,85.02918423325157
office31,A2D,without_source_fusion,0.0,0,0,30,0.9679659008979797,True,83.93574297188755,84.3632804782875
office31,A2D,source_anchored,0.0,1,0,30,0.97063809633255,True,84.13654618473896,85.02918423325157
office31,A2D,without_source_fusion,0.0,1,0,30,0.9679659008979797,True,83.93574297188755,84.3632804782875
office31,A2D,source_anchored,0.0,2,0,30,0.97063809633255,True,84.13654618473896,85.02918423325157
office31,A2D,without_source_fusion,0.0,2,0,30,0.9679659008979797,True,83.93574297188755,84.3632804782875
office31,A2D,source_anchored,0.0,3,0,30,0.97063809633255,True,84.13654618473896,85.02918423325157
office31,A2D,without_source_fusion,0.0,3,0,30,0.9679659008979797,True,83.93574297188755,84.3632804782875
office31,A2D,source_anchored,0.0,4,0,30,0.97063809633255,True,84.13654618473896,85.02918423325157
office31,A2D,without_source_fusion,0.0,4,0,30,0.9679659008979797,True,83.93574297188755,84.3632804782875
office31,A2D,source_anchored,0.1,0,40,31,0.9824835658073425,True,84.33734939759037,85.16943668766952
office31,A2D,without_source_fusion,0.1,0,40,31,0.9824835658073425,True,84.13654618473896,84.50990804426992
office31,A2D,source_anchored,0.1,1,40,31,0.9802195429801941,True,84.13654618473896,85.02918423325157
office31,A2D,without_source_fusion,0.1,1,40,31,0.9802195429801941,True,83.53413654618474,83.82564606968536
office31,A2D,source_anchored,0.1,2,40,30,0.966497004032135,True,83.93574297188755,84.90511475434339
office31,A2D,without_source_fusion,0.1,2,40,30,0.9638248085975647,True,84.13654618473896,84.50990804426992
office31,A2D,source_anchored,0.1,3,40,31,0.9815539121627808,True,84.13654618473896,85.02918423325157
office31,A2D,without_source_fusion,0.1,3,40,31,0.9815539121627808,True,83.93574297188755,84.3632804782875
office31,A2D,source_anchored,0.1,4,40,31,0.9807446002960205,True,83.93574297188755,84.56835474016401
office31,A2D,without_source_fusion,0.1,4,40,31,0.9807446002960205,True,83.93574297188755,84.18732739910863
office31,A2D,source_anchored,0.2,0,81,31,0.976464569568634,True,83.93574297188755,84.89873964277892
office31,A2D,without_source_fusion,0.2,0,81,31,0.976464569568634,True,83.73493975903614,84.14822671484666
office31,A2D,source_anchored,0.2,1,81,31,0.9743481874465942,True,84.33734939759037,85.16943668766952
office31,A2D,without_source_fusion,0.2,1,81,31,0.9743481874465942,True,84.13654618473896,84.43510673524702
office31,A2D,source_anchored,0.2,2,81,31,0.9793189167976379,True,84.13654618473896,85.02918423325157
office31,A2D,without_source_fusion,0.2,2,81,31,0.9793189167976379,True,84.13654618473896,84.50990804426992
office31,A2D,source_anchored,0.2,3,81,31,0.9775137305259705,True,83.93574297188755,84.90511475434339
office31,A2D,without_source_fusion,0.2,3,81,31,0.9775137305259705,True,84.13654618473896,84.32757985352659
office31,A2D,source_anchored,0.2,4,81,31,0.9751604199409485,True,83.93574297188755,84.90511475434339
office31,A2D,without_source_fusion,0.2,4,81,31,0.9751604199409485,True,83.93574297188755,84.29485428082906
office31,A2D,source_anchored,0.3,0,121,31,0.9716896414756775,True,84.13654618473896,85.04536720876133
office31,A2D,without_source_fusion,0.3,0,121,31,0.9716896414756775,True,84.33734939759037,84.7576873804083
office31,A2D,source_anchored,0.3,1,121,31,0.968442976474762,True,83.93574297188755,84.90511475434339
office31,A2D,without_source_fusion,0.3,1,121,31,0.968442976474762,True,83.73493975903614,84.14822671484666
office31,A2D,source_anchored,0.3,2,121,31,0.970538854598999,True,83.73493975903614,84.4217271741816
office31,A2D,without_source_fusion,0.3,2,121,31,0.970538854598999,True,83.73493975903614,84.14822671484666
office31,A2D,source_anchored,0.3,3,121,31,0.9680798649787903,True,83.93574297188755,84.90511475434339
office31,A2D,without_source_fusion,0.3,3,121,31,0.9680798649787903,True,83.93574297188755,84.31103725633882
office31,A2D,source_anchored,0.3,4,121,31,0.9689214825630188,True,83.73493975903614,84.75848718836096
office31,A2D,without_source_fusion,0.3,4,121,31,0.9689214825630188,True,83.93574297188755,84.2884791692646
office31,A2D,source_anchored,0.4,0,161,31,0.9611930251121521,True,83.73493975903614,84.78104527543519
office31,A2D,without_source_fusion,0.4,0,161,31,0.9611930251121521,True,84.13654618473896,84.43510673524702
office31,A2D,source_anchored,0.4,1,161,31,0.9645902514457703,True,83.33333333333334,84.17358821636522
office31,A2D,without_source_fusion,0.4,1,161,31,0.9645902514457703,True,83.93574297188755,84.29485428082906
office31,A2D,source_anchored,0.4,2,161,31,0.9635499715805054,True,83.93574297188755,84.90511475434339
office31,A2D,without_source_fusion,0.4,2,161,31,0.9635499715805054,True,83.93574297188755,84.2884791692646
office31,A2D,source_anchored,0.4,3,161,31,0.9614095091819763,True,83.93574297188755,84.89873964277892
office31,A2D,without_source_fusion,0.4,3,161,31,0.9614095091819763,True,83.93574297188755,84.2884791692646
office31,A2D,source_anchored,0.4,4,161,31,0.9614794254302979,True,83.33333333333334,84.16721310480078
office31,A2D,without_source_fusion,0.4,4,161,31,0.9614794254302979,True,83.93574297188755,84.46443224844347
office31,A2D,source_anchored,0.5,0,202,31,0.9497973322868347,True,83.73493975903614,84.43791014969136
office31,A2D,without_source_fusion,0.5,0,202,31,0.9497973322868347,True,83.73493975903614,84.14185160328219
office31,A2D,source_anchored,0.5,1,202,31,0.9500483870506287,True,83.93574297188755,84.92129772985314
office31,A2D,without_source_fusion,0.5,1,202,31,0.9500483870506287,True,83.93574297188755,84.31103725633882
office31,A2D,source_anchored,0.5,2,202,31,0.9499812722206116,True,83.93574297188755,84.89873964277892
office31,A2D,without_source_fusion,0.5,2,202,31,0.9499812722206116,True,83.73493975903614,84.14822671484666
office31,A2D,source_anchored,0.5,3,202,31,0.9482256174087524,True,83.53413654618474,84.29128258370898
office31,A2D,without_source_fusion,0.5,3,202,31,0.9482256174087524,True,83.73493975903614,84.14185160328219
office31,A2D,source_anchored,0.5,4,202,31,0.9524570107460022,True,83.53413654618474,84.12170461609453
office31,A2D,without_source_fusion,0.5,4,202,31,0.9524570107460022,True,83.73493975903614,83.98845661117753
office31,A2W,source_anchored,0.0,0,0,30,0.970206081867218,True,84.65408805031447,83.71400850056811
office31,A2W,without_source_fusion,0.0,0,0,30,0.9676017761230469,True,83.8993710691824,82.9379531168119
office31,A2W,source_anchored,0.0,1,0,30,0.970206081867218,True,84.65408805031447,83.71400850056811
office31,A2W,without_source_fusion,0.0,1,0,30,0.9676017761230469,True,83.8993710691824,82.9379531168119
office31,A2W,source_anchored,0.0,2,0,30,0.970206081867218,True,84.65408805031447,83.71400850056811
office31,A2W,without_source_fusion,0.0,2,0,30,0.9676017761230469,True,83.8993710691824,82.9379531168119
office31,A2W,source_anchored,0.0,3,0,30,0.970206081867218,True,84.65408805031447,83.71400850056811
office31,A2W,without_source_fusion,0.0,3,0,30,0.9676017761230469,True,83.8993710691824,82.9379531168119
office31,A2W,source_anchored,0.0,4,0,30,0.970206081867218,True,84.65408805031447,83.71400850056811
office31,A2W,without_source_fusion,0.0,4,0,30,0.9676017761230469,True,83.8993710691824,82.9379531168119
office31,A2W,source_anchored,0.1,0,62,30,0.9691259264945984,True,84.77987421383648,84.03414535296304
office31,A2W,without_source_fusion,0.1,0,62,30,0.9665215611457825,True,83.8993710691824,82.94563360836337
office31,A2W,source_anchored,0.1,1,62,31,0.9824349284172058,True,84.52830188679246,83.63336333927779
office31,A2W,without_source_fusion,0.1,1,62,31,0.9824349284172058,True,83.64779874213836,82.71095192206877
office31,A2W,source_anchored,0.1,2,62,31,0.9805253148078918,True,84.77987421383648,84.03414535296304
office31,A2W,without_source_fusion,0.1,2,62,31,0.9805253148078918,True,83.77358490566039,82.83042623509148
office31,A2W,source_anchored,0.1,3,62,31,0.980785071849823,True,84.52830188679246,83.63336333927779
office31,A2W,without_source_fusion,0.1,3,62,31,0.980785071849823,True,83.77358490566039,82.83042623509148
office31,A2W,source_anchored,0.1,4,62,31,0.9783567786216736,True,84.52830188679246,83.63336333927779
office31,A2W,without_source_fusion,0.1,4,62,31,0.9783567786216736,True,83.77358490566039,82.83042623509148
office31,A2W,source_anchored,0.2,0,123,31,0.9762771725654602,True,84.65408805031447,83.92661847124259
office31,A2W,without_source_fusion,0.2,0,123,31,0.9762771725654602,True,83.8993710691824,82.97067868950943
office31,A2W,source_anchored,0.2,1,123,31,0.9796306490898132,True,84.65408805031447,83.92661847124259
office31,A2W,without_source_fusion,0.2,1,123,31,0.9796306490898132,True,83.77358490566039,82.87522910247498
office31,A2W,source_anchored,0.2,2,123,31,0.976010799407959,True,84.52830188679246,83.63336333927779
office31,A2W,without_source_fusion,0.2,2,123,31,0.976010799407959,True,83.8993710691824,82.94563360836337
office31,A2W,source_anchored,0.2,3,123,31,0.9774454832077026,True,84.52830188679246,83.63336333927779
office31,A2W,without_source_fusion,0.2,3,123,31,0.9774454832077026,True,83.64779874213836,82.53717110312667
office31,A2W,source_anchored,0.2,4,123,31,0.9814661741256714,True,84.52830188679246,83.84597330995227
office31,A2W,without_source_fusion,0.2,4,123,31,0.9814661741256714,True,83.8993710691824,82.94563360836337
office31,A2W,source_anchored,0.3,0,185,31,0.9752951860427856,True,84.27672955974843,83.41830957583693
office31,A2W,without_source_fusion,0.3,0,185,31,0.9752951860427856,True,83.8993710691824,82.99043647574686
office31,A2W,source_anchored,0.3,1,185,31,0.9721521139144897,True,84.65408805031447,83.74089022099824
office31,A2W,without_source_fusion,0.3,1,185,31,0.9721521139144897,True,83.52201257861635,82.6111055318998
office31,A2W,source_anchored,0.3,2,185,31,0.9744998812675476,True,84.77987421383648,84.00163722593128
office31,A2W,without_source_fusion,0.3,2,185,31,0.9744998812675476,True,83.64779874213836,82.73057984492249
office31,A2W,source_anchored,0.3,3,185,31,0.9711046814918518,True,84.40251572327044,83.55271817798746
office31,A2W,without_source_fusion,0.3,3,185,31,0.9711046814918518,True,83.77358490566039,82.87442062968009
office31,A2W,source_anchored,0.3,4,185,31,0.9682082533836365,True,84.52830188679246,83.63336333927779
office31,A2W,without_source_fusion,0.3,4,185,31,0.9682082533836365,True,83.77358490566039,82.65237847639855
office31,A2W,source_anchored,0.4,0,247,31,0.9669288992881775,True,84.27672955974843,83.47207301669715
office31,A2W,without_source_fusion,0.4,0,247,31,0.9669288992881775,True,83.39622641509435,82.37745769306261
office31,A2W,source_anchored,0.4,1,247,31,0.9698008298873901,True,84.65408805031447,83.92661847124259
office31,A2W,without_source_fusion,0.4,1,247,31,0.9698008298873901,True,83.77358490566039,82.83042623509148
office31,A2W,source_anchored,0.4,2,247,31,0.9653559327125549,True,84.52830188679246,83.6602450597079
office31,A2W,without_source_fusion,0.4,2,247,31,0.9653559327125549,True,83.52201257861635,82.6111055318998
office31,A2W,source_anchored,0.4,3,247,31,0.9658084511756897,True,84.40251572327044,83.55271817798746
office31,A2W,without_source_fusion,0.4,3,247,31,0.9658084511756897,True,83.64779874213836,82.75575478945227
office31,A2W,source_anchored,0.4,4,247,31,0.9706855416297913,True,84.52830188679246,83.63336333927779
office31,A2W,without_source_fusion,0.4,4,247,31,0.9706855416297913,True,83.64779874213836,82.69601763294094
office31,A2W,source_anchored,0.5,0,308,31,0.959488570690155,True,84.40251572327044,83.76532814866195
office31,A2W,without_source_fusion,0.5,0,308,31,0.959488570690155,True,83.52201257861635,82.64993468363218
