benchmark,task,strategy,selected_count,selection_coverage,selected_pseudo_label_accuracy,classes_with_selected_samples,target_labels_used_only_for_posthoc_diagnostics,accuracy,balanced_accuracy
office31,A2D,confidence_threshold,403,0.8092369477911646,91.81141439205956,30,True,83.93574297188755,84.88255666726914
office31,A2D,entropy_matched_coverage,403,0.8092369477911646,91.06699751861042,30,True,83.73493975903614,84.75848718836096
office31,A2D,class_balanced_entropy,350,0.7028112449799196,94.85714285714286,30,True,84.13654618473896,85.02918423325157
office31,A2D,reliability_weighted,403,0.8092369477911646,91.81141439205956,30,True,84.13654618473896,85.02918423325157
office31,A2W,confidence_threshold,617,0.7761006289308177,91.73419773095624,30,True,84.77987421383648,83.82153538228854
office31,A2W,entropy_matched_coverage,617,0.7761006289308177,91.24797406807131,30,True,84.65408805031447,83.74089022099824
office31,A2W,class_balanced_entropy,553,0.6955974842767295,91.32007233273056,30,True,84.65408805031447,83.92661847124259
office31,A2W,reliability_weighted,617,0.7761006289308177,91.73419773095624,30,True,84.65408805031447,83.71400850056811
office31,D2A,confidence_threshold,2223,0.7891373801916933,92.35267656320289,31,True,81.39865104721335,81.00032149057056
office31,D2A,entropy_matched_coverage,2223,0.7891373801916933,92.1727395411606,31,True,81.43414980475683,81.03357722718513
office31,D2A,class_balanced_entropy,2124,0.7539936102236422,90.48964218455744,31,True,81.32765353212638,80.9162743213029
office31,D2A,reliability_weighted,2223,0.7891373801916933,92.35267656320289,31,True,81.46964856230032,81.06616113073677
office31,D2W,confidence_threshold,639,0.8037735849056604,92.33176838810641,30,True,86.0377358490566,84.83055834196222
office31,D2W,entropy_matched_coverage,639,0.8037735849056604,92.01877934272301,30,True,86.0377358490566,84.83055834196222
office31,D2W,class_balanced_entropy,570,0.7169811320754716,93.15789473684211,30,True,86.28930817610063,85.26406592834496
office31,D2W,reliability_weighted,639,0.8037735849056604,92.33176838810641,30,True,86.28930817610063,85.2774233049562
office31,W2A,confidence_threshold,2217,0.7870074547390842,92.28687415426252,31,True,81.2566560170394,80.87576652882686
office31,W2A,entropy_matched_coverage,2217,0.7870074547390842,92.06134415877312,31,True,81.2566560170394,80.87576652882686
office31,W2A,class_balanced_entropy,2121,0.7529286474973376,90.66478076379066,31,True,81.18565850195243,80.80787646957735
office31,W2A,reliability_weighted,2217,0.7870074547390842,92.28687415426252,31,True,81.2566560170394,80.87576652882686
office31,W2D,confidence_threshold,417,0.8373493975903614,93.28537170263789,30,True,86.34538152610442,86.88088384266506
office31,W2D,entropy_matched_coverage,417,0.8373493975903614,92.80575539568345,30,True,86.54618473895582,87.20346448782634
office31,W2D,class_balanced_entropy,366,0.7349397590361446,96.44808743169399,30,True,86.54618473895582,87.20346448782634
office31,W2D,reliability_weighted,417,0.8373493975903614,93.28537170263789,30,True,86.34538152610442,86.88088384266506
officehome,A2C,confidence_threshold,2307,0.5285223367697595,91.37407889033376,65,True,66.73539518900343,66.50194856420832
officehome,A2C,entropy_matched_coverage,2307,0.5285223367697595,90.24707412223667,64,True,66.25429553264604,66.26147008244808
officehome,A2C,class_balanced_entropy,2245,0.5143184421534936,83.47438752783964,65,True,66.96449026345933,66.83381510582964
officehome,A2C,reliability_weighted,2307,0.5285223367697595,91.37407889033376,65,True,66.68957617411225,66.46487720183573
officehome,A2P,confidence_threshold,3704,0.8344221671547646,95.38336933045356,64,True,87.99279116918225,87.35002550537693
officehome,A2P,entropy_matched_coverage,3704,0.8344221671547646,95.05939524838013,64,True,88.01531876548772,87.36656810256468
officehome,A2P,class_balanced_entropy,3358,0.7564766839378239,92.97200714711138,65,True,88.06037395809867,87.43037022525654
officehome,A2P,reliability_weighted,3704,0.8344221671547646,95.38336933045356,64,True,87.99279116918225,87.35002550537693
officehome,A2R,confidence_threshold,3604,0.8271746614643103,96.05993340732519,64,True,88.73077805829699,86.78719280747971
officehome,A2R,entropy_matched_coverage,3604,0.8271746614643103,95.338512763596,65,True,88.77668120266237,86.9162967849672
officehome,A2R,class_balanced_entropy,3391,0.778287812715171,93.30580949572398,65,True,88.75372963047968,86.9520605253695
officehome,A2R,reliability_weighted,3604,0.8271746614643103,96.05993340732519,64,True,88.73077805829699,86.78719280747971
officehome,C2A,confidence_threshold,1650,0.6798516687268232,94.18181818181817,64,True,79.68685620107128,75.32545026389829
officehome,C2A,entropy_matched_coverage,1650,0.6798516687268232,93.33333333333333,64,True,79.68685620107128,75.41909821801134
officehome,C2A,class_balanced_entropy,1487,0.6126905644829007,84.80161398789508,65,True,79.97527812113721,76.04911049975583
officehome,C2A,reliability_weighted,1650,0.6798516687268232,94.18181818181817,64,True,79.68685620107128,75.42198968938507
officehome,C2P,confidence_threshold,3683,0.829691371930615,95.62856367092044,64,True,87.97026357287677,87.28624366165447
officehome,C2P,entropy_matched_coverage,3683,0.829691371930615,95.43850122183002,64,True,87.88015318765487,87.19377616660337
officehome,C2P,class_balanced_entropy,3354,0.7555755800856049,93.14251639833036,65,True,88.01531876548772,87.32612502638986
officehome,C2P,reliability_weighted,3683,0.829691371930615,95.62856367092044,64,True,87.92520838026583,87.24540412484718
officehome,C2R,confidence_threshold,3565,0.8182235483130594,96.10098176718093,65,True,88.93734220794124,87.09887312911725
officehome,C2R,entropy_matched_coverage,3565,0.8182235483130594,95.42776998597475,65,True,88.93734220794124,87.11461761854594
officehome,C2R,class_balanced_entropy,3341,0.7668120266238238,93.055971266088,65,True,88.96029378012393,87.12979483709454
officehome,C2R,reliability_weighted,3565,0.8182235483130594,96.10098176718093,65,True,88.96029378012393,87.12254176817049
officehome,P2A,confidence_threshold,1679,0.6918005768438401,93.5080405002978,64,True,78.86279357231149,74.7253709993374
officehome,P2A,entropy_matched_coverage,1679,0.6918005768438401,92.13817748659918,64,True,78.86279357231149,74.73366662528008
officehome,P2A,class_balanced_entropy,1484,0.611454470539761,84.77088948787062,65,True,79.06880922950144,75.00018995702081
officehome,P2A,reliability_weighted,1679,0.6918005768438401,93.5080405002978,64,True,78.90399670374948,74.76383253779893
officehome,P2C,confidence_threshold,2358,0.5402061855670103,91.22137404580153,65,True,67.90378006872852,67.10755027824045
officehome,P2C,entropy_matched_coverage,2358,0.5402061855670103,90.11874469889737,65,True,67.90378006872852,67.11225317768019
officehome,P2C,class_balanced_entropy,2292,0.525085910652921,83.46422338568935,65,True,67.9495990836197,67.28911837374751
officehome,P2C,reliability_weighted,2358,0.5402061855670103,91.22137404580153,65,True,67.90378006872852,67.10755027824045
officehome,P2R,confidence_threshold,3664,0.840945604773927,95.63318777292577,65,True,89.16685792976818,87.33882080430836
officehome,P2R,entropy_matched_coverage,3664,0.840945604773927,95.03275109170306,65,True,89.18980950195088,87.41533195576143
officehome,P2R,class_balanced_entropy,3445,0.790681661693826,92.88824383164005,65,True,89.18980950195088,87.4146014422104
officehome,P2R,reliability_weighted,3664,0.840945604773927,95.63318777292577,65,True,89.18980950195088,87.3658113576147
