benchmark,threshold,mean_selected,min_selected,max_selected,mean_target_count,coverage,pseudo_label_accuracy,final_accuracy
office31,0.5,1238.1666666666667,463,2531,1370.0,0.9130728296942735,88.08460532946913,84.01935495984246
office31,0.6,1158.6666666666667,436,2366,1370.0,0.8552015228985815,90.53676407084647,83.98588775770055
office31,0.7,1086.0,403,2223,1370.0,0.8004342323581303,92.30038382187091,84.02527141943303
office31,0.8,997.3333333333334,372,2045,1370.0,0.735748277737308,94.4401154632795,83.99247413966488
office31,0.9,855.5,326,1769,1370.0,0.6289564941570154,96.48601193379403,82.19029687715572
officehome,0.5,3291.3333333333335,1970,4163,3897.0,0.8413689699745236,89.14684437654701,80.90255450442628
officehome,0.6,3060.8333333333335,1800,3953,3897.0,0.7811763841224474,91.80729016814378,80.89253939534143
officehome,0.7,2834.75,1650,3744,3897.0,0.7227165612457843,94.08068775398688,80.89665748173888
officehome,0.8,2580.75,1459,3527,3897.0,0.6563592138379668,95.91143222462169,80.84934245628791
officehome,0.9,2209.75,1189,3132,3897.0,0.5596209211526427,97.74382740259072,80.66077406444414
