Benchmark,Representative task,Method,Median latency (ms),P95 latency (ms),Peak host allocation (MB),Backpropagation,Trainable parameters
office31,W2A,Prompt Ensemble,11.90719999999995,13.2042,11.126298904418944,False,0
office31,W2A,T3A (protocol-compatible),26.60775000000004,33.593899999999955,11.189970016479492,False,0
office31,W2A,Tip-Adapter source cache,32.5226500000001,38.38770000000014,33.233428955078125,False,0
office31,W2A,Text + Target,131.17530000000068,161.03500000000005,11.641162872314451,False,0
office31,W2A,SA-TPA,143.67335000000026,198.64809999999977,11.641162872314451,False,0
officehome,C2P,Prompt Ensemble,24.44770000000001,31.12250000000005,17.598240852355957,False,0
officehome,C2P,T3A (protocol-compatible),54.65760000000009,61.05650000000007,17.722808837890625,False,0
officehome,C2P,Tip-Adapter source cache,257.5153499999998,311.02670000000023,241.37692260742188,False,0
officehome,C2P,Text + Target,279.78584999999964,296.7004000000006,19.076679229736328,False,0
officehome,C2P,SA-TPA,284.3547500000003,324.58470000000085,19.076679229736328,False,0
