Parameter,Value,Mean accuracy,Mean ECE,Worst-task accuracy
alpha_source,0.0,82.98866129819578,0.04186845082182683,81.2566560170394
alpha_source,0.05,83.59249860709676,0.043097454611121966,81.07916222932198
alpha_source,0.1,84.02527141943304,0.04799778926490525,81.2566560170394
alpha_source,0.2,84.70041975256638,0.053570817246513774,80.86616968406106
alpha_source,0.3,84.63431236146789,0.05564790987720893,80.0141995030174
alpha_target,0.0,83.49176237572308,0.0417817948186584,80.65317713880015
alpha_target,0.01,83.65523527052396,0.04389868930188667,81.04366347177849
alpha_target,0.025,84.02527141943304,0.04799778926490525,81.2566560170394
alpha_target,0.05,84.26414023754982,0.05147693949258791,81.64714235001776
alpha_target,0.1,84.82113691300793,0.05693259401301851,81.96663116790913
class_prior_strength,0.0,83.99180421729113,0.048482211288181115,81.2566560170394
class_prior_strength,0.05,83.99180421729113,0.04858793008953608,81.2566560170394
class_prior_strength,0.1,84.02527141943304,0.04799778926490525,81.2566560170394
class_prior_strength,0.2,84.02527141943304,0.048293388294271565,81.2566560170394
confidence_threshold,0.5,84.01935495984246,0.04753805722342008,81.2566560170394
confidence_threshold,0.6,83.98588775770055,0.04754792618906715,81.2566560170394
confidence_threshold,0.7,84.02527141943304,0.04799778926490525,81.2566560170394
confidence_threshold,0.8,83.99247413966488,0.04818498812210017,81.2566560170394
confidence_threshold,0.9,82.19029687715572,0.05291702788381303,80.50314465408806
top_k,1.0,84.02527141943304,0.04799778926490525,81.2566560170394
top_k,2.0,83.97472476089312,0.04433268801940748,81.18565850195243
top_k,4.0,83.93279603971912,0.04402412477946325,81.18565850195243
top_k,8.0,83.92096312053796,0.043550809181539835,81.18565850195243
